"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40088","css score","edge tests","Fri Jul 25 12:12:43 GMT 2025","passed","Fri Jul 25 12:13:23 GMT 2025","","css-score.spec.ts","",""
"","747","name is required test","edge tests","Fri Jul 25 12:13:20 GMT 2025","passed","Fri Jul 25 12:13:21 GMT 2025","","name-is-required.spec.ts","",""
"","1006","name is required test","chromium tests","Fri Jul 25 12:12:40 GMT 2025","passed","Fri Jul 25 12:12:41 GMT 2025","","name-is-required.spec.ts","",""
"","40058","css score","chromium tests","Fri Jul 25 12:12:40 GMT 2025","passed","Fri Jul 25 12:13:20 GMT 2025","","css-score.spec.ts","",""
"","2907","name is required test","safari (webkit) tests","Fri Jul 25 12:13:24 GMT 2025","passed","Fri Jul 25 12:13:27 GMT 2025","","name-is-required.spec.ts","",""
"","46514","css score","safari (webkit) tests","Fri Jul 25 12:13:22 GMT 2025","passed","Fri Jul 25 12:14:08 GMT 2025","","css-score.spec.ts","",""
"","38723","xpath score","edge tests","Fri Jul 25 12:13:22 GMT 2025","passed","Fri Jul 25 12:14:00 GMT 2025","","xpath-score.spec.ts","",""
"","42423","xpath score","safari (webkit) tests","Fri Jul 25 12:13:28 GMT 2025","passed","Fri Jul 25 12:14:10 GMT 2025","","xpath-score.spec.ts","",""
"","38942","xpath score","chromium tests","Fri Jul 25 12:12:40 GMT 2025","passed","Fri Jul 25 12:13:19 GMT 2025","","xpath-score.spec.ts","",""
